alpha-2;per_capita
AL;0.0000003471
AD;0.0000129631
AR;0.000000402
AM;0.0000003381
AU;0.0000051978
AT;0.0000042434
AZ;0.0000000995
BH;0.0000006093
BY;0.0000006348
BE;0.0000050263
BA;0.0000012118
BR;0.0000002796
BG;0.0000017143
CA;0.0000043035
CL;0.0000006859
CN;0.0000000021
CO;0.0000000596
CR;0.0000007925
HR;0.0000024211
CY;0.0000058403
DK;0.0000117813
EC;0.0000000576
EG;0.0000000199
EE;0.0000098065
FI;0.0000554937
FR;0.0000034086
GE;0.0000002502
DE;0.0000047535
GR;0.0000079248
GL;0.0000176454
HU;0.0000022716
IS;0.0000737396
IN;0.0000000059
ID;0.0000000185
IQ;0.0000000254
IE;0.0000038915
IL;0.0000018781
IT;0.0000036003
JP;0.0000004099
JO;0.000000495
LV;0.0000125869
LB;0.0000005835
LI;0.0000263026
LT;0.0000032613
LU;0.0000048723
MY;0.0000000313
MT;0.000011354
MX;0.0000001176
MC;0.0000513294
NZ;0.0000022998
NO;0.0000412727
PE;0.000000123
PL;0.0000026394
PT;0.0000043027
RO;0.0000025304
RU;0.0000004936
SA;0.0000000292
RS;0.0000019379
SG;0.0000008614
SI;0.0000043297
ZA;0.0000000854
ES;0.0000016689
LK;0.0000000938
SE;0.0000474275
CH;0.000006169
TR;0.0000001678
UA;0.0000005683
US;0.0000034613
